text@nns1982m	@nns1982m	28.747	29.252	мгм //
text@nns1982m	@nns1982m	40.047	42.822	и говоря то что это металл / металл такой / металл или э ?
text@nns1982m	@nns1982m	43.523	44.447	какой например ?
text@nns1982m	@nns1982m	46.186	47.029	понятн... //
text@nns1982m	@nns1982m	50.999	52.229	а зачем вы его за это критикуете ?
text@nns1982m	@nns1982m	59.017	59.629	да //
text@nns1982m	@nns1982m	60.788	61.258	да //
text@nns1982m	@nns1982m	71.747	72.335	#нрзб#
text@nns1982m	@nns1982m	89.351	89.675	мгм //
text@nns1982m	@nns1982m	102.558	103.035	мгм //
text@nns1982m	@nns1982m	108.746	109.287	мгм //
text@nns1982m	@nns1982m	115.366	116.023	два года назад ?
text@nns1982m	@nns1982m	118.054	118.876	но щас не так ?
text@nns1982m	@nns1982m	120.67	121.507	а с чем это связано ?
text@nns1982m	@nns1982m	137.258	144.482	когда слушаешь вашу музыку / а и ээ / мы д... до начала еще интервью говорили / я / я летел вчера в самолете // и собственно / у вас в Айтюнсе можно найти два альбома //
text@nns1982m	@nns1982m	145.157	147.105	аа / Де Дотерс / и ээм / и / Пасха //
text@nns1982m	@nns1982m	147.828	149.893	и // три или четыре сингла //
text@nns1982m	@nns1982m	151.405	152.329	а вы за этим не следите ?
text@nns1982m	@nns1982m	156.328	156.775	поче... //
text@nns1982m	@nns1982m	157.372	157.923	Дочери //
text@nns1982m	@nns1982m	162.524	164.106	но / записан он весь на французском языке //
text@nns1982m	@nns1982m	168.328	170.07	нормальная вещь / согласен //
text@nns1982m	@nns1982m	170.34	173.635	иээ / вы п... произнесли слово / которое я собственно / я сам не мог подобрать вчера //
text@nns1982m	@nns1982m	174.052	179.788	это / ощущение / даже сегодня / когда ты слушаешь альбом какого-то там / две тысячи двенадцатого или тринадцатого года /
text@nns1982m	@nns1982m	180.176	182.029	абсолютной эээ //
text@nns1982m	@nns1982m	182.449	186.358	мм / живости правильно сказать материала // ну жива... это живая музыка //
text@nns1982m	@nns1982m	187.67	188.841	#выдыхает#
text@nns1982m	@nns1982m	188.841	193.047	не знаю / у меня огромные проблемы с музыкой / за исключением может быть / эаа //
text@nns1982m	@nns1982m	193.999	194.952	мэам //
text@nns1982m	@nns1982m	195.334	197.252	не хочется говорить слово классической музыки //
text@nns1982m	@nns1982m	197.689	201.794	вот  э // академическ... не не / иэ / не академической музыки / у меня никогда не было //
text@nns1982m	@nns1982m	202.152	204.764	эа / ты вот / слушаешь там вариации Глодберга / или там //
text@nns1982m	@nns1982m	205.276	207.94	не знаю там / сюиты для / клавесина Генделя //
text@nns1982m	@nns1982m	208.107	209.307	у тебя нет никогда / а //
text@nns1982m	@nns1982m	209.729	213.035	как бы ээ / ощущения что эта музыка может / быть мертва //
text@nns1982m	@nns1982m	213.275	217.135	ну у меня не было по крайней мере / никогда такого ощущения / мертвы может быть исполнения этой музыки //
text@nns1982m	@nns1982m	217.523	222.241	ну э / во... / там скорее отц... мм / на мой взгляд этц... / от исполнителя зависит чем от самого произведения // почему-то //
text@nns1982m	@nns1982m	222.74	225.904	но я // не люблю ни авангард / ни ээ //
text@nns1982m	@nns1982m	226.323	231.394	декафонию / тональность это / а // все время такое ощущение что эта музыка опоздала на один день //
text@nns1982m	@nns1982m	231.688	233.188	вот с Бахом нет такого / чувства //
text@nns1982m	@nns1982m	233.778	234.619	вам так не кажется ?
text@nns1982m	@nns1982m	236.305	237.499	есть / но //
text@nns1982m	@nns1982m	238.676	240.582	хрен его знает / может это зависит от того //
text@nns1982m	@nns1982m	240.975	245.705	ааэ // с кем композитор разговаривает в тот м... / или дл... для кого он пишет эту музыку // не знаю //
text@nns1982m	@nns1982m	247.075	247.716	мгм //
text@nns1982m	@nns1982m	248.658	250.593	всем задают музыкантам вопрос / для кого вы пишете //
text@nns1982m	@nns1982m	255.811	257.158	от Губайдулиной точно //
text@nns1982m	@nns1982m	257.375	266.486	э / мы вчера / записывали / не буду говорить с кем / чтобы / может интервью позже выйдет / или раньше / еще одно интервью / и мы / с товарищем слушали в машине музыку Галины Уствольской которую все / ну / м /
text@nns1982m	@nns1982m	267.205	271.226	по крайней мере музыканты / и люди которые / ну / в этом #нрзб# понимают / в отличие от нас / дураков //
text@nns1982m	@nns1982m	271.832	273.546	вот / но мне это показалось / ээ //
text@nns1982m	@nns1982m	274.565	275.039	блин //
text@nns1982m	@nns1982m	275.345	276.633	совершенно устаревшим чем-то //
text@nns1982m	@nns1982m	278.773	280.539	м / а вы классическую музыку слушаете ?
text@nns1982m	@nns1982m	282.139	282.592	какую ?
text@nns1982m	@nns1982m	296.252	297.665	ну / в Бахе же есть диссонанс ?
text@nns1982m	@nns1982m	298.331	298.826	ага //
